Type	Term	TemplateName
 Lease	12	E:\internalsites\SuperTRUMP\PRMTemplates\Leasing_Source\VF Lease term 48 and less.tem
 Lease	61	E:\internalsites\SuperTRUMP\PRMTemplates\Leasing_Source\VF Lease term 61 to 72.tem
 Lease	52	E:\internalsites\SuperTRUMP\PRMTemplates\Leasing_Source\VF quasi (non-tax) lease term 49 to 60.tem
 Lease	36	E:\internalsites\SuperTRUMP\PRMTemplates\Leasing_Source\VF quasi (non-tax) lease term 48 and less.tem
 Lease	24	E:\internalsites\SuperTRUMP\PRMTemplates\Leasing_Source\VF quasi (non-tax) lease term 48 and less.tem
 Lease	48	E:\internalsites\SuperTRUMP\PRMTemplates\Leasing_Source\VF quasi (non-tax) lease term 48 and less.tem
 Lease	60	E:\internalsites\SuperTRUMP\PRMTemplates\Leasing_Source\VF quasi (non-tax) lease term 49 to 60.tem
 Lease	39	E:\internalsites\SuperTRUMP\PRMTemplates\Leasing_Source\VF Muni term 48 and less.tem
 Lease	35	E:\internalsites\SuperTRUMP\PRMTemplates\Leasing_Source\VF Lease term 48 and less.tem
 Lease	51	E:\internalsites\SuperTRUMP\PRMTemplates\Leasing_Source\VF Lease term 49 to 60.tem
 Lease	42	E:\internalsites\SuperTRUMP\PRMTemplates\Leasing_Source\VF Lease term 48 and less.tem
 Lease	37	E:\internalsites\SuperTRUMP\PRMTemplates\Leasing_Source\VF Lease term 48 and less.tem
 Lease	46	E:\internalsites\SuperTRUMP\PRMTemplates\Leasing_Source\VF Lease term 48 and less.tem
 Lease	49	E:\internalsites\SuperTRUMP\PRMTemplates\Leasing_Source\VF Lease term 49 to 60.tem
 Lease	66	E:\internalsites\SuperTRUMP\PRMTemplates\Leasing_Source\VF quasi (non-tax) lease term 49 to 60.tem
Loan	12	E:\internalsites\SuperTRUMP\PRMTemplates\Leasing_Source\VF Loan term 48 and less.tem
Loan	24	E:\internalsites\SuperTRUMP\PRMTemplates\Leasing_Source\VF Loan term 48 and less.tem
Loan	36	E:\internalsites\SuperTRUMP\PRMTemplates\Leasing_Source\VF Loan term 48 and less.tem
Loan	39	E:\internalsites\SuperTRUMP\PRMTemplates\Leasing_Source\VF Loan term 48 and less.tem
Loan	48	E:\internalsites\SuperTRUMP\PRMTemplates\Leasing_Source\VF Loan term 48 and less.tem
Loan	52	E:\internalsites\SuperTRUMP\PRMTemplates\Leasing_Source\VF Loan term 49 to 60.tem
Loan	60	E:\internalsites\SuperTRUMP\PRMTemplates\Leasing_Source\VF Loan term 49 to 60.tem